epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.21049,1.91738,2.84574,1.6686,0.31986,0.28986,0.19686,0.08652,1.96731,4.94236,1.58533,0.0005,0.0005,0.0005
2,13.1796,1.87662,1.83437,1.60447,0.12712,0.27536,0.08325,0.02938,2.34023,12.7785,1.97647,0.000994755,0.000994755,0.000994755
3,18.8853,1.9068,1.7069,1.58778,0.30004,0.24638,0.20704,0.06753,2.29205,8.29035,2.10619,0.00146377,0.00146377,0.00146377
4,24.1767,1.90768,1.68711,1.56304,0.27449,0.31159,0.22345,0.08003,2.18806,8.55787,1.94511,0.0018515,0.0018515,0.0018515
5,28.6031,1.92901,1.61709,1.55418,0.37866,0.44928,0.37265,0.16008,2.20953,6.38256,1.83121,0.001802,0.001802,0.001802
6,32.9568,1.86876,1.53508,1.5217,0.43929,0.31884,0.31539,0.1239,2.31724,3.78288,1.93684,0.0017525,0.0017525,0.0017525
7,38.4732,1.90943,1.5531,1.52579,0.39593,0.2971,0.28534,0.11118,2.21923,5.52282,1.81613,0.001703,0.001703,0.001703
8,42.7673,1.87675,1.50958,1.54685,0.30159,0.32609,0.18102,0.06621,2.70309,2.97903,2.33779,0.0016535,0.0016535,0.0016535
9,46.9459,1.86236,1.48269,1.5146,0.1033,0.17391,0.06409,0.02001,3.22278,3.39831,3.25106,0.001604,0.001604,0.001604
10,52.4315,1.8156,1.3927,1.49909,0.4587,0.56522,0.44074,0.18186,2.16577,1.73393,1.69313,0.0015545,0.0015545,0.0015545
11,56.7545,1.8187,1.43652,1.48285,0.53922,0.66144,0.55419,0.22767,1.99696,1.93029,1.56933,0.001505,0.001505,0.001505
12,61.0803,1.70074,1.33365,1.41012,0.57565,0.67828,0.60999,0.27009,1.92618,1.42533,1.52204,0.0014555,0.0014555,0.0014555
13,66.654,1.75089,1.31951,1.43119,0.58748,0.5942,0.60946,0.23864,1.9634,1.44436,1.52277,0.001406,0.001406,0.001406
14,70.9017,1.7183,1.28741,1.41959,0.67614,0.57491,0.64592,0.25418,1.97657,1.49068,1.52731,0.0013565,0.0013565,0.0013565
15,75.203,1.66166,1.2427,1.39646,0.54139,0.63043,0.61424,0.25796,1.92856,1.61341,1.52206,0.001307,0.001307,0.001307
16,80.771,1.6487,1.22871,1.3979,0.61772,0.65942,0.58915,0.27044,1.89469,1.50193,1.4595,0.0012575,0.0012575,0.0012575
17,85.0136,1.62076,1.19734,1.3641,0.59749,0.68841,0.62131,0.26479,1.92083,1.38911,1.50294,0.001208,0.001208,0.001208
18,89.2281,1.63916,1.11829,1.34333,0.7086,0.6087,0.62086,0.28183,1.99517,1.33512,1.5653,0.0011585,0.0011585,0.0011585
19,94.8668,1.6131,1.13531,1.35059,0.76414,0.63043,0.66472,0.30344,1.91937,1.30416,1.48919,0.001109,0.001109,0.001109
20,99.1835,1.60407,1.13909,1.36681,0.68114,0.66667,0.65119,0.30288,1.80125,1.31207,1.44182,0.0010595,0.0010595,0.0010595
21,103.537,1.577,1.10552,1.33619,0.5434,0.68991,0.5943,0.27419,1.92893,1.4006,1.48683,0.00101,0.00101,0.00101
22,109.124,1.6253,1.10263,1.37076,0.70467,0.65703,0.72942,0.33356,1.88588,1.24742,1.46425,0.0009605,0.0009605,0.0009605
23,113.473,1.59233,1.07415,1.33463,0.71705,0.7162,0.71964,0.33342,1.80659,1.18875,1.42434,0.000911,0.000911,0.000911
24,117.781,1.53278,1.03369,1.32182,0.77519,0.63768,0.68433,0.3149,1.83333,1.24663,1.4818,0.0008615,0.0008615,0.0008615
25,123.353,1.50962,1.02597,1.30321,0.77943,0.66579,0.72151,0.33582,1.90228,1.17384,1.48717,0.000812,0.000812,0.000812
26,127.687,1.50277,1.01373,1.30619,0.77022,0.7029,0.72718,0.33079,1.8268,1.1459,1.46259,0.0007625,0.0007625,0.0007625
